fid,stara nazwa,stary adres,nowy adres,nowa nazwa,x,y
1,Stanica Harcerska w Woli Michowej,"38-543, Komańcza, Wola Michowa 22, Nowy Łupków","Wola Michowa 22, 38-543 Wola Michowa, Polska",Wola Michowa 22,49.2383318,22.139065
2,Baza Obozowa Hufca ZHP Szamotuły w Jeleńcu,"64-410 Bucharzewo, Jeleniec, Sieraków","Jeleniec, Bucharzewo, Polska",Jeleniec,52.6967553,16.0669944
3,HBO Przerwanki,"11-607 - Węgorzewo, leśnictwo Borki","Dworcowa 8A, 11-612 Kruklanki, Polska",Nadleśnictwo Borki,54.1323441,21.8410283
4,Letnia Baza Obozowa Hufca ZHP Konin w Pobierowie,"72-346 Pobierowo, ul. Graniczna 10, leśnictwo Pobierowo","Graniczna 10, 72-346 Pobierowo, Polska",Graniczna 10,54.06435,14.952959
5,Stanica Harcerska w Kosarzyskach,Stanica Harcerska w Kosarzyskach 33-350 Piwniczna-Zdrój,"Kosarzyska, 33-350 Piwniczna-Zdrój, Polska",Stanica Harcerska Chorągwi Krakowskiej ZHP,49.4324729,20.6758168
6,Baza Hufca ZHP Szamotuły w Jeleńcu,"64-510 Sieraków, Jeleniec, Leśnictwo Lichwin","św. Huberta 1, 64-410 Sieraków, Polska",Leśnictwo Lichwin. Nadleśnictwo Sieraków,52.69627,16.0704
7,Stanica Próchnówko,Stanica Próchnówko 78-640 Tuczno,"78-640 Tuczno, Polska",Kemping Stanica harcerska,53.1913544,16.1142294
8,Kaczeńcowa 7,"Ul. Kaczeńcowa 7, 31-831 Kraków","Kaczeńcowa 7, 31-831 Kraków, Polska",Kaczeńcowa 7,50.0875481,20.0323959
9,"Ośrodek Szkoleniowo-Wypoczynkowy ""Bieszczadzki Trakt""","38-700, Ustrzyki Dolne, ul. Korczaka 11","Janusza Korczaka 11, 38-700 Ustrzyki Dolne, Polska",Janusza Korczaka 11,49.428685,22.584799
10,"Ośrodek Biwakowo-Obozowy Hufca ""PIAST"" Poznań Stare Miasto","62-022 Rogalinek, ul. Północna 25, leśnictwo Sasinowo","Północna 25, 62-022 Rogalinek, Polska",Północna 25,52.2603068,16.8915246
11,Baza Hufca ZHP Łódź Widzew ,76-107 Jarosławiec  ul Sosnowa 36,"Sosnowa 36, 76-113 Jarosławiec, Polska",Sosnowa 36,54.5275458,16.5249153
12,Siedziba Hufca ZHP Wrocław im. Polonii Wrocławskiej,"pl. Św. Macieja 5a/3, 50-244 Wrocław","plac Świętego Macieja 5A/3, 50-244 Wrocław, Polska",plac Świętego Macieja 5A/3,51.1197184,17.0373942
13,Baza obozowa PATELNIA,72-513 WISEŁKA ul. Łąkowa 11 a  Kołczewo,"Łąkowa 11A, 72-513 Wisełka, Polska",Łąkowa 11A,53.963192,14.57692
14,Letnia Stanica Obozowa ZHP Hufca Wieliczka,82-103 Stegna Jantar Leśniczówka,"82-103 Jantar Leśniczówka, Polska",Jantar Leśniczówka,54.3345571,19.0034589
15,Harcerski Ośrodek Wypoczynkowy Hufca ZHP Chorzów w Kucobach,46-300  Olesno Kucoby 35,"Kucoby 35, 46-312 Kucoby, Polska",Kucoby 35,50.8765573,18.5945182
16,Baza Obozowa Hufca ZHP Mosina w Lubniewicach,"69-210 Lubniewice, Spacerowa, nadleśnictwo Lubniewice","Jana Pawła II 34, 69-210 Lubniewice, Polska",Nadleśnictwo Lubniewice,52.5118436,15.2433426
17,"Stanica Harcerska Hufca ZHP Sławno ""Leśna Polana""","76-107 Jarosławiec, ul. Bałtycka 2 Leśnictwo Górsko, Nadleśnictwo Ustka","76-206 Gajki; 2, Polska",Leśnictwo Pęplino. Nadleśnictwo Ustka,54.539749,16.559824
18,Baza Karkonoskiego Hufca ZHP w Białogórze,"84-113, Białogóra, ulica Lubiatowska, Baza Obozowa Hufca Karkonoskiego, Leśnictwo Białogóra ","Lubiatowska, Białogóra, Polska",Baza Hufca Karkonoskiego ZHP w Białogórze,54.8120815,17.9398768
19,"Baza Harcerska ""KAMIONEK"" w Kamiennej Nowej","16-200 Dąbrowa Białostocka, Kamienna Nowa, leśnictwo Trzy Rzeczki ","Kuderewszczyzna 19, 16-200 Kuderewszczyzna, Polska",Trzyrzeczki Leśniczówka,53.408965,23.496686
20,Dom Harcerza Hufca ZHP Ziemi Będzińskiej,"42-506 Będzin, ul. Przechodnia 1","Przechodnia 1, 42-506 Będzin, Polska",Przechodnia 1,50.3484336,19.0832143
21,Polewicz,"gmina Wilga 08-470, Polewicz","08-470 Polewicz, Polska",Polewicz,51.8571439,21.4107473
22,"Ośrodek Harcerski ""Borowiany""","42-693, Krupski Młyn, Leśna, ","Leśna, 42-693 Potępa, Polska",Leśna,50.551625,18.643347
23,Harcerska Baza Obozowa Hufca ZHP Świdnica w NIESULICACH,"Zgrupowanie Obozów Hufca ZHP Świdnica w NIESULICACH, 66-213 Skąpe, Agencja Pocztowa Ołobok, jezioro Niesłysz, Zatoka Wodne Wcięcie.","Niesulice, punkt pocztowy Ołobok, 66-213 Skąpe, Polska",Harcerska Baza Obozowa Hufca ZHP Świdnica w Niesulicach,52.218755,15.381546
24,Baza Obozowa Hufca Dąbrowa Górnicza w Janowie,"42-253 Janów, ul. Przyrowska, Nadleśnictwo Złoty Potok, Leśnictwo Dziadówki","Kościuszki 2, 42-253 Janów, Polska",Nadleśnictwo Złoty Potok,50.73053,19.445467
25,Baza Harcerska w Borkach,"Borki, gmina Gródek, nadleśnictwo Waliły","Białostocka 3, 16-040 Waliły-Stacja, Polska",Nadleśnictwo Waliły,53.196033,23.505314
26,Baza Harcerska w Stańcykach,"Stańczyki, gmina Dubeninki","19-504 Stańczyki, Polska",Stańczyki,54.29752,22.650411
27,Baza Obozowa Hufca ZHP Poznań - Jeżyce w Łowyniu,"ul. Okrężna 2, 64-426 Łowyń","Okrężna 2, 64-426 Łowyń, Polska",Okrężna 2,52.4940525,15.8964686
28,Harcerska Stanica Podgaje,64-965 OKONEK PODGAJE - STANICA HARCERSKA Podgaje,"Podgaje, Polska",Podgaje,53.538834,16.857057
29,Ośrodek Wypoczynkowy Dzieci i Młodzieży w Cichem ,87-305 Zbiczno  Ciche 80A,"Ciche 80A, 87-305 Ciche, Polska",Ciche 80A,53.3794073,19.3579277
30,"""WOLA"" Stanica harcerska Hufca ZHP Krosno w Woli Michowej","Stanica harcerska Hufca ZHP Krosno Wola Michowa 22, 38-543 Komańcza","Wola Michowa 22, 38-543 Wola Michowa, Polska",Stanica harcerska Hufca ZHP Krosno,49.2383318,22.139065
31,Harcerski Ośrodek Szkoleniowo Wypoczynkowy,"89-504 Legbąd, Biała 20, Leśnictwo Woziwoda","89-504 Woziwoda, Polska",Leśnictwo Woziwoda,53.679128,17.972606
32,Harcerska Baza Obozowa Papiernia,"83-424 Lipusz, nadleśnictwo Lipusz","Brzozowa 2, 83-424 Lipusz, Polska",Nadleśnictwo Lipusz,54.119481,17.769424
33,"Stanica Harcerska""Nasz dom"" w Słupi","Stanica Harcerska ""Nasz dom"" w Słupi, 09-227 Szczutowo","09-227 Szczutowo, Polska","Stanica Harcerska ""Nasz Dom"" w Słupii",52.9758465,19.5741852
34,"Harcerski Ośrodek Wypoczynkowy ""Krówka Leśna""","86-013 Mąkowarsko, leśnictwo Różanna","Leśna 5, 86-010 Koronowo, Polska",Nadleśnictwo Różanna,53.416271,17.897946
35,Harcerski Ośrodek Wypoczynkowy w Smerzynie,"89-210, Smerzyn, Smerzyn 62, Załachowo","89-210 Załachowo, Polska",Załachowo,52.936926,17.866833
36,Ośrodek Wypoczynkowy Dzieci i Młodzieży w Cichem,87-305 Zbiczno Ciche 80a,"Ciche 80A, 87-305 Ciche, Polska",Ciche 80A,53.3794073,19.3579277
37,"Stanica Harcerska ""Słoneczna Polana"" w Bierach","43-386 Biery 320 (ul. Sportowa), leśnictwo Jaworze","Biery 320, 43-386 Biery, Polska",Biery 320,49.790994,18.906538
38,Baza Obozowa w Ustroniu - Lipowcu,"43-431 Ustroń, ul. Bernadka 9, leśnictwo Równica","Równica, 43-450 Ustroń, Polska",Równica,49.757023,18.812819
39,Obóz Hufca Gorczańskiego ZHP Chorągwi Krakowskiej w Pobierowie ,"72-346, Pobierowo, ul. Grunwaldzka, działka leśna 510b, gmina Rewal","Grunwaldzka, 72-346 Pobierowo, Polska",Grunwaldzka,54.053858,14.912606
40,Ośrodek Szkoleniowo - Wypoczynkowy Hufca ZHP Pabianice w Małeczu,"Małecz 50, Lubochnia 97-217","Małecz 50, 97-217 Małecz, Polska",Małecz 50,51.619667,19.989538
41,Stanica Harcerska Chorągwi Mazowieckiej ZHP w Gorzewie,09 - 500 Gostynin (Gorzewo) Leśnictwo KRUK,"Bierzewicka 55, 09-500 Gostynin, Polska",Nadleśnictwo Gostynin,52.477775,19.528756
42,Ośrodek Harcerski w Krynicy Morskiej,82-120 Krynica Morska ul. Słoneczna 1,"Słoneczna 1, 82-120 Krynica Morska, Polska",Atrium - Domki Letniskowe,54.402019,19.512742
43,Sucha Rzeczka,"Sucha Rzeczka, leśnictwo Przewięź","Sucha Rzeczka 60, 16-326 Płaska, Polska",Nadleśnictwo Płaska,53.8830087,23.22305
44,Baza Hufca ZHP Pabianice w Rogowie,72-330 Mrzeżyno leśnictwo Mrzeżyno powiat Trzebiatów,"Leśna 85, 72-330 Mrzeżyno, Polska",Leśnictwo Mrzeżyno. Nadleśnictwo Gryfice,54.133156,15.2716666
45,Stanica Hufca ZHP Pabianice w Dwerniku,"38-713 Lutowiska, Dwernik 9, leśnictwo Dwerniczek","38-715 Dwernik; 17, Polska",Leśnictwo Dwerniczek. Nadleśnictwo Lutowiska,49.220342,22.635614
46,Harcerskie Centrum Edukacji Ekologicznej i Żeglarstwa Hufca ZHP Leszno,"HCEEiŻ ZHP Leszno, Dąbcze ul. Nad Zalewem, 64-130 Rydzyna, ","Nad Zalewem, 64-130 Dąbcze, Polska",Nad Zalewem,51.8047605,16.6479349
47,Baza Szkoleniowo-wypoczynkowa Ośrodka ZHP Buk w Rybojedzku,"62-060 Stęszew , Rybojedzko ","62-060 Rybojedzko, Polska",Rybojedzko,52.300755,16.631613
48,"Stanica Harcerska ""Watra"" Hufca ZHP Kępno","63-507 Kobyla Góra, Sikorskiego 12, Przedborów ","Sikorskiego 12, 63-507 Kobyla Góra, Polska",Sikorskiego 12,51.385294,17.830459
49,Baza obozowa Hufca ZHP Ziemi Wałbrzyskiej w Wilczu,"64-224 Wilcze, ulicy brak, leśnictwo Świętno","64-224 Wilcze, Polska",Leśniczówka Wilcze. Leśnictwo Świętno. Nadleśnictwo Sława,52.0106954,16.0124921
50,HARCERSKA BAZA OBOZOWA LUBIANKA,"27-200 STARACHOWICE UL, HARCERSKA 4","Harcerska 4, 27-200 Starachowice, Polska",Harcerska 4,51.0234775,21.0505943
51,"Baza Hufca ZHP Łódź - Górna ""Krańcówka""","79-107, Rusinowo, ul. Sosnowa 11, Rusinowo","Sosnowa 11, 76-107 Jarosławiec, Polska",Sosnowa 11,54.52665,16.528122
52,Harcerska Baza Obozowa Hufca ZHP Kwidzyn w Siemianach ,"14-216 Siemiany, Siemiany 24, Leśnictwo Jeziorno","Siemiany 14, 14-230 Siemiany, Polska",Siemiany 14,53.721431,19.596207
53,Ośrodek Harcerski w Zarzeczu,Zarzecze  ul. Harcerska 1 34-326 ,"Harcerska 1, 34-326 Zarzecze, Polska",Harcerska 1,49.7289559,19.1846359
54,Ośrodek Harcerski w Jaworzu Nałężu,Jaworze - Nałęże   ,"Grabka 26, 43-384 Jaworze, Polska",Gościniec Nałęże,49.765057,18.910882
55,BP Hostel Gdynia - Stanica Harcerska,81-431 Gdynia ul. Bolesława Prusa 9-11,"Bolesława Prusa 9, 81-431 Gdynia, Polska",Bolesława Prusa 9,54.5055742,18.5542952
56,Stanica Harcerska Hufca ZHP Ostrołęka,"Kierwik, 12-150 Spychowo, Nadleśnictwo Spychowo","Mazurska 3, 12-150 Spychowo, Polska",Nadleśnictwo Spychowo,53.599776,21.344772
57,Baza zuchowa Hufca Łódź-Bałuty w Świętouściu,"72-514 Kołczewo, Baza zuchowa Hufca Łódź-Bałuty w Świętouściu, leśnictwo Kołczewo","Wrześnieńska 64, 91-045 Łódź, Polska","ZHP Hufiec Łódź-Bałuty ""Promienistych""",53.991824,14.647233
58,Stanica Harcerska Olchowiec,"38-709 Olchowiec, Olchowiec, gm. Czarna, powiat bieszczadzki","Olchowiec, Polska",Olchowiec,49.308808,22.512867
59,HARCERSKA BAZA OBOZOWA HUFCA ŁAGIEWNIKI W POBIEROWIE,72-346 POBIEROWO UL. POLNA LEŚNICTWO POBIEROWO,"Polna, 72-346 Pobierowo, Polska",Polna,54.0615541,14.9484229
60,Harcerska Baza Obozowa Gaj,"13-334 Gaj, leśnictwo Lipowa Góra, Nadleśnictwo Jamy","Łąkorz 160, 13-334 Łąkorz, Polska",Leśnictwo Lipowa Góra. Nadleśnictwo Jamy,53.463587,19.383537
61,"Baza ZHP ""BERDO"" w Myczkowcach",38-623 Uherce Mineralne Myczkowce Ośrodek ZHP „BERDO” w Myczkowcach,"38-623 Myczkowce, Polska",Berdo. Ośrodek Związku Harcerstwa Polskiego,49.4234028,22.4160893
62,Stanica w Budach Michałowskich,"Budy Michałowskie 77, kod pocztowy 96-316","Budy Michałowskie 77, 96-316 Budy Michałowskie, Polska",Budy Michałowskie 77,52.050506,20.537789
63,"Stanica Harcerska ""Nasz Dom""",09-227 Szczutowo,"09-227 Szczutowo, Polska",Szczutowo,52.975957,19.574212
64,HSW - Harcerska Stanica Wodna 1 Harcerskiej Drużyny Wodnej im. Kpt. ż.w Mamerta Stankiewicza,"44-203, Boguchwałowice, Nadbrzeżna 50","Nadbrzeżna 50, 44-203 Boguchwałowice, Polska",Stanica 1HDW - HSW Boguchwałowice,50.4413999,19.1807592
65,Harcerska Baza Obozowa Stare Karpno ,HBO Stare Karpno 83-424 Lipusz,Polska,HBO Stare Karpno,54.1205212,17.8058391
66,Harcerska Baza Obozowa w Czernicy,"89-632 Czernica, gmina Brusy, leśnictwo Czernica","Jana Pawła II 3, 89-632 Czernica, Polska",Leśnictwo Czernica. Nadleśnictwo Przymuszewo,53.845005,17.624295
67,Harcerska Baza Obozowa Papiernia ,Papiernia 83-424 Lipusz,"83-424 Papiernia, Polska",Papiernia,54.1117625,17.7692007
68,"Harcerska Baza Obozowa ""Azymut"" w Rekowie","Rekowo, 77-100 Bytów","Rekowo, Polska",Rekowo,54.079183,17.428751
69,Ośrodek w Korzkwi,"Ul. Eleonory Wodzickiej 2, 32-088 Korzkiew","Eleonory Wodzickiej 2, 32-088 Korzkiew, Polska",Eleonory Wodzickiej 2,50.1621549,19.8816994
70,Baza Imiołki,"62-265, Imiołki, gmina Kiszkowo, Leśnictwo Zakrzewo, ","62-270 Zakrzewo, Polska",Leśnictwo Zakrzewo. Nadleśnictwo Gniezno,52.564899,17.383858
71,Uście,"ul. Orchowa 4, 67-415 Uście","Orchowa 4, 67-415 Uście, Polska",Orchowa 4,52.009727,15.9501078
72,"ZHP Ośrodek Szkoleniowo-Wypoczynkowy ""Perkoz""","11-015, Olsztynek, Waszeta 1, Leśnictwo Nowe Ramuki","Nowy Ramuk 19, 10-687 Olsztyn, Polska",Nadleśnictwo Nowe Ramuki,53.589541,20.381723
73,Stanica Harcerska Trzy Morgi,"97-510, Stobnica 79A, leśnictwo Grzegorzówka","97-510, Polska",Leśnictwo Stobnica. Nadleśnictwo Piotrków,51.25709,19.894162
74,Baza Obozowa Hufca ZHP Powiatu Trzebnickiego w Lginiu,"67-400 Wschowa, Lgiń 99c, Nadleśnictwo Włoszakowice, jezioro Lgińsko Małe",BRAK,BRAK,51.873308,16.232125
75,Harcerska Baza Obozowa Cyranka - Przerwanki,"11-610, Przerwanki, bez numeru, leśnictwo Wilkus",BRAK,BRAK,54.131398,21.942455
76,"Harcerska Baza Obozowa ""Krzeczków""","66-232 Mostki, leśnictwo Krzeczkowo",BRAK,BRAK,52.229432,15.410354
77,Stanica Harcerska Biały Brzeg,"29-120 Kluczewsko, leśnictwo Wymysłów ",BRAK,BRAK,51.032632,19.876627
78,Harcerska Baza Obozowa Hufca ZHP Legnica w Zaborówcu,"64-150 Wijewo, Leśniczówka-Papiernia pow. Leszno, woj. Wielkopolskie",BRAK,BRAK,51.919807,16.285029
79,"""Harcerska Polana"" w Strużnicy",58-533 Mysłakowice Strużnica leśnictwo Strużnica,BRAK,BRAK,50.826501,15.887003 
80,Kostiuchnówka,"44630 Kostiuchnówka, ul. Centralna 80a, leśnictwo Wołczeck, rejon Maniewicze, obwód wołyński, Ukraina",BRAK,BRAK,51.350381,25.754929
81,Harcerski Ośrodek Obozowy PÓLKO,"86-010 Koronowo, leśnictwo Pólko, Nadleśnictwo Różanna Harcerski Ośrodek Obozowy PÓLKO",BRAK,BRAK,53.320222,17.988224
82,Baza harcerska  Garbaś,"16-424 l Filipów,  Garbas ",BRAK,BRAK,54.203972,22.800309
83,"Ośrodek Szkolno Wypoczynkowy ""Pajęczyna"" Hufca ZHP Jarocin","62-085 Skoki, Rościnno, nadleśnictwo Durowo, Leśnictwo Owczegłowy",BRAK,BRAK,52.695285,17.115776
84,obóz Harcerski pod namiotami Hufiec ZHP Koło,"64-210 Choczewo, Kopalino 116, Nadleśnictwo Choczewo, Leśnictwo Kopalino",BRAK,BRAK,54.788559,17.848758
85,Ośrodek Obozowo - biwakowy hufca ZHP Ruda Śląska w Kuźnicy," 98-331, Kuźnica, Nowa Brzeźnica, przy drodze numer 492",BRAK,BRAK,51.024487,19.107007
86,"Harcerskie Centrum Integracji Dzieci i Młodzieży Baza Kolonijno-Obozowa ""SKAUT"" w Orkuszu","82-550 Prabuty, Orkusz (nie ma numeru), Leśnictwo Gonty",BRAK,BRAK,53.797602,19.125431
87,Harcerska Baza Obozowa w Rajcu Poduchownym,"26-613, Rajec Poduchowny, brak ulicy i numeru,leśnictwo Rajec",BRAK,BRAK,51.435363,21.236439
88,Harcerska Baza Obozowa w Łazach,"76-002, Łazy, Wierzbowa",BRAK,BRAK,54.24944,16.01059
89,Harcerska baza obozowa Wicie ,76-150 Darłowo  Wicie ul. Wczasowa 4  Leśnictwo Sławno,BRAK,BRAK,54.504314,16.466014
90,Baza harcerska Hufca Łódź-Bałuty w Przewozie,"77-143 Przewóz, Baza Harcerska Hufca Łódź-Bałuty ""Promienistych"" w Przewozie, leśnictwo Lubaszki",BRAK,BRAK,54.076486,17.558165
91,"Stanica Harcerska ""Zielona Polana"" Hufiec ZHP Ostrów Wlkp",63-400 Ostrów Wielkopolski ul. Siwego Sokoła 1 leśnictwo Taczanów ,BRAK,BRAK,51.673589,17.811228
92,HBO Winiec,Harcerska Baza Obozowa Winiec 14-140 Miłomłyn,BRAK,BRAK,53.801623,19.841420
93,"HCEEiZR ""Leśna Stacja""  (dawniej HBO Leśna Huta)","83-262 Czarna Woda, Leśna Huta 4, Leśnictwo Czarna Woda",BRAK,BRAK,53.885510,18.097447
94,Harcerski Ośrodek Szkoleniowo - Wypoczynkowy Hufca ZHP Tuchola w Białej,"89-504 Legbąd, Biała 20, Leśnictwo Zielonka - Nadleśnictwo Woziwoda",BRAK,BRAK,53.679096,17.972605
95,Majdańska Polana,"22-671 Majdan Sopocki Drugi, Majdańska Polana, Leśnictwo Kalina",BRAK,BRAK,50.463354,23.173228
